league,season,team,player,league_id,season,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,source,player_std
ENG-Premier League,1920,Brighton,Gaëtan Bong,1,2019,220,6105,S,4,53,0,0.0,0,0.0,0,0.118988998234272,0,2,0,0,0.15665319748222828,0.03766389936208725,understat,gaëtan bong
ENG-Premier League,1920,Brighton,Glenn Murray,1,2019,220,882,F S,23,761,1,2.6061216220259666,1,2.6061216220259666,1,0.8675274848937988,18,3,0,0,3.274798784404993,0.6036572121083736,understat,glenn murray
ENG-Premier League,1920,Brighton,Jürgen Locadia,1,2019,220,6542,F S,2,84,0,0.399702288210392,0,0.399702288210392,0,0.0,2,0,0,0,0.10170039720833302,0.04361509904265404,understat,jurgen locadia
ENG-Premier League,1920,Brighton,Leandro Trossard,1,2019,220,7698,F M S,31,2018,5,5.354306818917394,5,5.354306818917394,3,4.625107796862721,41,42,0,0,12.011701306328177,4.779168190434575,understat,leandro trossard
ENG-Premier League,1920,Brighton,Lewis Dunk,1,2019,220,6048,D,36,3233,3,3.7192770410329103,3,3.7192770410329103,3,1.2634231951087713,31,14,9,0,8.553323849104345,8.34768467117101,understat,lewis dunk
ENG-Premier League,1920,Brighton,Martín Montoya,1,2019,220,1950,D S,27,1912,0,1.434309795498848,0,1.434309795498848,1,1.9423044212162495,8,21,5,0,6.852789672091603,4.159861506894231,understat,martín montoya
ENG-Premier League,1920,Brighton,Mat Ryan,1,2019,220,2385,GK,38,3420,0,0.0,0,0.0,0,0.0,0,0,0,0,4.3156101051718,4.3156101051718,understat,mat ryan
ENG-Premier League,1920,Brighton,Neal Maupay,1,2019,220,3621,F S,37,2782,10,13.558547105640173,9,12.0362094566226,3,2.5061313090845942,96,25,3,0,13.855041846632957,3.483615791425109,understat,neal maupay
ENG-Premier League,1920,Brighton,Pascal Groß,1,2019,220,239,F M S,29,1812,2,1.4560961024835706,2,1.4560961024835706,4,5.95470461063087,29,59,4,0,8.312002453953028,6.019410947337747,understat,pascal groß
ENG-Premier League,1920,Brighton,Shane Duffy,1,2019,220,6047,D S,19,1226,1,1.2561100292950869,1,1.2561100292950869,0,0.13407669961452484,7,2,2,0,2.0523226000368595,1.9144121892750263,understat,shane duffy
ENG-Premier League,1920,Brighton,Solly March,1,2019,220,6049,D F M S,19,1132,0,1.4669600799679756,0,1.4669600799679756,1,1.1065804678946733,20,13,2,0,4.3761305175721645,2.2650219071656466,understat,solly march
ENG-Premier League,1920,Brighton,Steven Alzate,1,2019,220,8020,D M S,19,1175,0,1.0576836168766022,0,1.0576836168766022,0,0.8152610920369625,13,14,1,0,3.4897162094712257,1.8680191319435835,understat,steven alzate
ENG-Premier League,1920,Brighton,Tariq Lamptey,1,2019,220,8226,D M S,9,624,0,0.07120069861412048,0,0.07120069861412048,1,1.1490469872951508,2,7,2,0,1.1776024103164673,0.5959804151207209,understat,tariq lamptey
ENG-Premier League,1920,Brighton,Yves Bissouma,1,2019,220,5609,M S,22,1270,1,0.4054245175793767,1,0.4054245175793767,0,0.13574090041220188,16,4,4,0,3.3690175376832485,2.9315690994262695,understat,yves bissouma
ENG-Premier League,1920,Burnley,Aaron Lennon,1,2019,92,593,M S,16,466,0,0.024231400340795517,0,0.024231400340795517,0,0.15801360458135605,1,2,4,0,0.2908954042941332,0.10865039937198162,understat,aaron lennon
ENG-Premier League,1920,Burnley,Ashley Barnes,1,2019,92,4422,F S,19,1386,6,6.516932616010308,5,5.755763599649072,0,0.30882069282233715,40,5,4,0,5.060968911275268,1.5740788727998734,understat,ashley barnes
ENG-Premier League,1920,Burnley,Ashley Westwood,1,2019,92,669,M,35,3150,2,1.175162992440164,2,1.175162992440164,6,7.076902749016881,13,54,9,0,9.225505642592907,6.144050858914852,understat,ashley westwood
ENG-Premier League,1920,Burnley,Ben Mee,1,2019,92,1654,D,32,2880,1,1.304819413460791,1,1.304819413460791,1,1.7796144038438797,17,9,7,0,1.8804780133068562,1.7440900057554245,understat,ben mee
ENG-Premier League,1920,Burnley,Charlie Taylor,1,2019,92,6044,D S,24,1938,0,0.014006299898028374,0,0.014006299898028374,1,0.8630970446392894,1,12,3,0,3.4987696604803205,3.2500410806387663,understat,charlie taylor
ENG-Premier League,1920,Burnley,Chris Wood,1,2019,92,4456,F S,32,2462,14,17.226178102195263,13,16.465013168752193,1,1.470995786599815,65,22,1,0,12.642646510154009,2.4554112339392304,understat,chris wood
ENG-Premier League,1920,Burnley,Dwight McNeil,1,2019,92,6756,M,38,3360,2,1.9389333985745907,2,1.9389333985745907,6,7.562423378229141,48,55,5,0,10.701591536402702,3.791262296959758,understat,dwight mcneil
ENG-Premier League,1920,Burnley,Erik Pieters,1,2019,92,887,D M S,24,1880,0,0.4510196018964052,0,0.4510196018964052,4,2.6981899132952094,14,18,2,0,5.004479072056711,2.330094227567315,understat,erik pieters
ENG-Premier League,1920,Burnley,Jack Cork,1,2019,92,712,M,30,2627,0,1.3451761966571212,0,1.3451761966571212,0,1.172847704961896,18,12,1,0,6.311918627470732,4.833095049485564,understat,jack cork
ENG-Premier League,1920,Burnley,James Tarkowski,1,2019,92,1665,D,38,3420,2,2.6218677647411823,2,2.6218677647411823,2,3.587189712561667,21,15,10,0,3.144729475490749,2.991729243658483,understat,james tarkowski
ENG-Premier League,1920,Burnley,Jay Rodriguez,1,2019,92,844,F S,36,1987,8,8.956886642612517,7,8.195717656053603,1,0.7683106064796448,67,6,1,0,7.035942684859037,1.257896514609456,understat,jay rodriguez
ENG-Premier League,1920,Burnley,Jeff Hendrick,1,2019,92,1746,M S,24,1944,2,2.1020823437720537,2,2.1020823437720537,2,1.3787490194663405,22,14,8,0,4.952224725857377,2.434791326522827,understat,jeff hendrick
ENG-Premier League,1920,Burnley,Johann Berg Gudmundsson,1,2019,92,1663,M S,12,629,1,0.7235375083982944,1,0.7235375083982944,1,0.9180738814175129,10,14,0,0,1.5657927207648754,1.0057295821607113,understat,johann berg gudmundsson
ENG-Premier League,1920,Burnley,Josh Brownhill,1,2019,92,8323,M S,10,808,0,0.318044301122427,0,0.318044301122427,0,0.12225660309195518,6,3,2,0,2.098622285760939,1.8908498296514153,understat,josh brownhill
